"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2126","Validate created customer","ui","Sun Oct 06 16:02:37 UTC 2024","passed","Sun Oct 06 16:02:39 UTC 2024","[UI] [Customers] Smoke with fixtures","","",""
"","4665","Test Edit product providing random data","ui","Sun Oct 06 16:02:47 UTC 2024","passed","Sun Oct 06 16:02:52 UTC 2024","[UI] [Product] Edit Product","","",""
"","819","Should login with valid credentials","setup","Sun Oct 06 16:02:28 UTC 2024","passed","Sun Oct 06 16:02:29 UTC 2024","","","",""
"","524","Create customer with valid data","ui","Sun Oct 06 16:02:39 UTC 2024","passed","Sun Oct 06 16:02:40 UTC 2024","[UI] [Customers] Smoke","","",""
"","3137","Test Delete product from products list","ui","Sun Oct 06 16:02:44 UTC 2024","passed","Sun Oct 06 16:02:47 UTC 2024","[UI] [Product] Edit Product","","",""
"","4835","Create customer with valid data with fixture","ui","Sun Oct 06 16:02:32 UTC 2024","passed","Sun Oct 06 16:02:37 UTC 2024","[UI] [Customers] Smoke with fixtures","","",""
"","4190","Test Create product with random data","ui","Sun Oct 06 16:02:40 UTC 2024","passed","Sun Oct 06 16:02:44 UTC 2024","[UI] [Product] Create Product","","",""
"","898","Create customer with valid data","api","Sun Oct 06 16:02:55 UTC 2024","passed","Sun Oct 06 16:02:56 UTC 2024","[API] [Customers]","","",""
